Model,R2 Score,MAE,RMSE
Ridge,0.9922747958522479,1.066985859737774,1.2868665392933003
Linear Regression,0.9922269227644763,1.0679931640625,1.2908477367273141
XGBRegressor,0.9853276895927143,1.3049669329325357,1.773486060581656
CatBoost Regressor,0.9834138362182125,1.257903699000362,1.8856083856603911
Random Forest Regressor,0.9833805114445449,1.361655555555552,1.8875017089764126
Lasso,0.9829393743070345,1.4854171809000085,1.9123879718786538
AdaBoost Regressor,0.9761026330122672,1.67921308232142,2.2633595634661403
Decision Tree,0.9717352016595042,1.7925,2.461509247956988
K-Neighbors Regressor,0.9288403752430092,2.8676666666666666,3.9056682455687968
