Model,R2 Score,MAE,RMSE
Linear Regression,0.9932559239964097,0.9449609375,1.1665057698064563
Ridge,0.9932552098686702,0.946196710399212,1.1665675286060877
CatBoost Regressor,0.9915616559555149,1.044849379108443,1.3048310340242073
Random Forest Regressor,0.9900162777016525,1.1535985317460353,1.4192925053527579
XGBRegressor,0.9893123539839691,1.1961664168039956,1.4684754616981892
Lasso,0.9857397332469414,1.3254143898164747,1.6962485445013442
AdaBoost Regressor,0.9800549706858765,1.584405771235211,2.0060557706085187
Decision Tree,0.9799459826701846,1.665833333333333,2.0115292689891433
K-Neighbors Regressor,0.9455041767741562,2.619,3.3159446450278525
