iter	RMSE
0	13.82018102
1	13.3814895
2	12.95895211
3	12.5766026
4	12.1670147
5	11.78821481
6	11.44066585
7	11.07992117
8	10.73579829
9	10.40692821
10	10.12904489
11	9.840367461
12	9.597068459
13	9.299228294
14	9.007381636
15	8.728807834
16	8.45125255
17	8.212556105
18	7.97674841
19	7.73955695
20	7.521147186
21	7.30526945
22	7.121535423
23	6.921729106
24	6.728586774
25	6.542280952
26	6.378683885
27	6.199481655
28	6.023071694
29	5.869274813
30	5.712339179
31	5.559820072
32	5.417129679
33	5.277358536
34	5.150009021
35	5.006036415
36	4.870047786
37	4.739362654
38	4.614055429
39	4.503321654
40	4.389308887
41	4.286870812
42	4.172381844
43	4.064142777
44	3.96501088
45	3.876113362
46	3.793556419
47	3.702520875
48	3.613175104
49	3.527265459
50	3.443454667
51	3.37028486
52	3.295409337
53	3.224214207
54	3.155745016
55	3.098377202
56	3.030134614
57	2.969379937
58	2.90984902
59	2.85151169
60	2.794544121
61	2.733492713
62	2.681632208
63	2.633578387
64	2.579483967
65	2.530227571
66	2.48686594
67	2.439712915
68	2.395567527
69	2.355674452
70	2.313396874
71	2.274638111
72	2.239001415
73	2.203403475
74	2.172855302
75	2.143153376
76	2.107339263
77	2.074745775
78	2.049551026
79	2.022203868
80	1.999041533
81	1.974710325
82	1.94740347
83	1.923985444
84	1.902573708
85	1.876582648
86	1.853923729
87	1.835215771
88	1.8126918
89	1.792553052
90	1.773920072
91	1.753154595
92	1.736257117
93	1.718616587
94	1.702071198
95	1.684055026
96	1.667997573
97	1.655057253
98	1.6395534
99	1.627710023
100	1.61498597
101	1.601890295
102	1.589225277
103	1.57763622
104	1.56693377
105	1.556059016
106	1.547420449
107	1.536724204
108	1.527500309
109	1.517137794
110	1.50764978
111	1.49749316
112	1.489027356
113	1.48122052
114	1.47367108
115	1.465915305
116	1.457784062
117	1.450127442
118	1.442541957
119	1.439896975
120	1.434324373
121	1.426722835
122	1.421116251
123	1.415586008
124	1.409774779
125	1.405295829
126	1.398599376
127	1.393506052
128	1.388448481
129	1.383247778
130	1.37871314
131	1.37386424
132	1.369793245
133	1.363877633
134	1.358478524
135	1.355594566
136	1.351003666
137	1.348333933
138	1.344476562
139	1.341130713
140	1.336891352
141	1.333788018
142	1.330763107
143	1.326679231
144	1.322977366
145	1.320891532
146	1.31779189
147	1.314009956
148	1.312568442
149	1.30800552
150	1.305032695
151	1.3017892
152	1.298071526
153	1.295625192
154	1.292619471
155	1.29161805
156	1.288981195
157	1.287869983
158	1.284896735
159	1.283603459
160	1.280800999
161	1.278194511
162	1.276611491
163	1.274026431
164	1.27118193
165	1.269220779
166	1.267601158
167	1.264807325
168	1.262950972
169	1.260736931
170	1.258106512
171	1.257088557
172	1.254129828
173	1.253229306
174	1.252369622
175	1.250544111
176	1.248813572
177	1.246909932
178	1.245417227
179	1.244343515
180	1.241469127
181	1.239175877
182	1.237184818
183	1.234223165
184	1.232584702
185	1.231826248
186	1.231071347
187	1.230318021
188	1.229691925
189	1.228692478
190	1.227228895
191	1.226645763
192	1.225197634
193	1.224706205
194	1.224327277
195	1.222714151
196	1.221851371
197	1.221239338
198	1.220323714
199	1.219525868
200	1.218250121
201	1.217800566
202	1.21690748
203	1.215316176
204	1.214788616
205	1.214257236
206	1.212923385
207	1.212228502
208	1.211788186
209	1.210872408
210	1.208275339
211	1.20591085
212	1.204614703
213	1.203695486
214	1.203276348
215	1.202108013
216	1.201091127
217	1.200707143
218	1.199214412
219	1.198874564
220	1.198548959
221	1.197689697
222	1.196904699
223	1.194997608
224	1.194134938
225	1.190507854
226	1.189835742
227	1.188900849
228	1.187538939
229	1.186568076
230	1.185773367
231	1.185141231
232	1.183708534
233	1.183485987
234	1.183144927
235	1.182760156
236	1.182463867
237	1.178987552
238	1.17876179
239	1.177376085
240	1.177131873
241	1.175593362
242	1.175023531
243	1.174223163
244	1.174043571
245	1.173193426
246	1.170526206
247	1.168059659
248	1.167864417
249	1.167474703
250	1.165714883
251	1.163016073
252	1.162631825
253	1.161955764
254	1.16172935
255	1.161411329
256	1.161189258
257	1.160836991
258	1.159869053
259	1.159732218
260	1.158025154
261	1.156084764
262	1.155863352
263	1.154958786
264	1.153577511
265	1.153138952
266	1.15148645
267	1.150570681
268	1.149210002
269	1.148353268
270	1.147519081
271	1.145317847
272	1.144761204
273	1.143219849
274	1.141832646
275	1.140577788
276	1.139319051
277	1.138179888
278	1.136674146
279	1.135411529
280	1.134011153
281	1.132501889
282	1.132158399
283	1.130852672
284	1.12871436
285	1.126714086
286	1.126627958
287	1.125668871
288	1.125111818
289	1.125034097
290	1.124958335
291	1.124884078
292	1.124424722
293	1.123173465
294	1.122317049
295	1.120270884
296	1.118844173
297	1.11819651
298	1.117594088
299	1.11696102
300	1.115582336
301	1.114920859
302	1.113125669
303	1.111126437
304	1.109311566
305	1.108551194
306	1.107332625
307	1.106208698
308	1.104875685
309	1.10329905
310	1.10211186
311	1.100996869
312	1.099171913
313	1.097793612
314	1.096650231
315	1.095200178
316	1.095111009
317	1.093955998
318	1.092399332
319	1.090771493
320	1.089367403
321	1.087985394
322	1.087326747
323	1.086959815
324	1.085919911
325	1.084892085
326	1.084084646
327	1.083196329
328	1.082454762
329	1.081356513
330	1.07973915
331	1.078026034
332	1.07670552
333	1.075124334
334	1.073726828
335	1.072690367
336	1.071697555
337	1.070485063
338	1.068791656
339	1.067479552
340	1.066517188
341	1.064960143
342	1.063969797
343	1.063291355
344	1.062382381
345	1.06126263
346	1.060563781
347	1.059624118
348	1.058331428
349	1.057074585
350	1.055993661
351	1.054803247
352	1.053088756
353	1.051626819
354	1.050388367
355	1.048859009
356	1.047556268
357	1.046538318
358	1.045547168
359	1.044071595
360	1.043027303
361	1.042118038
362	1.040964989
363	1.038958618
364	1.038182481
365	1.037320521
366	1.036368056
367	1.035495673
368	1.033680616
369	1.032645746
370	1.031662875
371	1.030396507
372	1.029831131
373	1.029055805
374	1.028211717
375	1.027468034
376	1.026505355
377	1.025525032
378	1.024488687
379	1.02339881
380	1.022382091
381	1.020912044
382	1.020178708
383	1.018868166
384	1.01813049
385	1.016437473
386	1.015607617
387	1.014297929
388	1.01350572
389	1.01285405
390	1.011804758
391	1.01113909
392	1.0097474
393	1.009032621
394	1.008438442
395	1.007443899
396	1.00597456
397	1.005576319
398	1.005123833
399	1.004389685
400	1.003832528
401	1.003147956
402	1.002571774
403	1.001005654
404	0.9996554309
405	0.9986854263
406	0.997551158
407	0.9967054441
408	0.9954654384
409	0.9948718017
410	0.9941892836
411	0.9930173932
412	0.9921946042
413	0.9905447083
414	0.9896722068
415	0.9885841554
416	0.9871935825
417	0.985998818
418	0.9852304993
419	0.9844775106
420	0.9832262655
421	0.9827139948
422	0.9818183861
423	0.9806339482
424	0.9793262147
425	0.9787587834
426	0.9780269558
427	0.9760857182
428	0.9742187788
429	0.9732538036
430	0.9718181134
431	0.9713561645
432	0.9703101682
433	0.9700268833
434	0.9690356581
435	0.9677819416
436	0.9670134185
437	0.9658636762
438	0.965169102
439	0.9642188539
440	0.9634278539
441	0.9623255194
442	0.961513547
443	0.960207564
444	0.9596982713
445	0.957802235
446	0.9566134876
447	0.9555687041
448	0.9554033241
449	0.9541738926
450	0.9531088112
451	0.9523947264
452	0.9511900209
453	0.9499377356
454	0.9491345283
455	0.9486367503
456	0.9481977694
457	0.9478290823
458	0.9467989249
459	0.9457388196
460	0.9449168673
461	0.9442031064
462	0.9441072081
463	0.943410509
464	0.9423539459
465	0.9417211198
466	0.9405247811
467	0.9395183258
468	0.9387327687
469	0.9379663381
470	0.9376997587
471	0.9375580589
472	0.9362240762
473	0.9356959911
474	0.9347689714
475	0.9339576157
476	0.9328109566
477	0.9319355168
478	0.9309813213
479	0.9302187773
480	0.9292842351
481	0.9281594797
482	0.9272605682
483	0.9267197123
484	0.9263374113
485	0.9258987829
486	0.9248515696
487	0.9237981722
488	0.9232166731
489	0.9228565385
490	0.9218932858
491	0.9215767749
492	0.920888813
493	0.9202750697
494	0.9194644739
495	0.9184559597
496	0.9180684871
497	0.917460675
498	0.9170781059
499	0.916790395
500	0.9157610622
501	0.9149984607
502	0.9141553604
503	0.9131759428
504	0.912524801
505	0.911380012
506	0.9108922211
507	0.9100014674
508	0.9092173297
509	0.9086347661
510	0.9080846862
511	0.9072963099
512	0.9061472398
513	0.9058990846
514	0.905315151
515	0.9045658522
516	0.9037213429
517	0.903122042
518	0.9017758341
519	0.9012051305
520	0.9004966649
521	0.8992745306
522	0.8986557053
523	0.8977011271
524	0.896642112
525	0.8959893876
526	0.894029222
527	0.8930178346
528	0.8922978901
529	0.89150978
530	0.891400264
531	0.8908703982
532	0.8899510115
533	0.8897581209
534	0.889578039
535	0.8886029577
536	0.8880983508
537	0.8866913924
538	0.8860249147
539	0.8856171061
540	0.8845137078
541	0.8842232039
542	0.884134184
543	0.8835108662
544	0.8823728144
545	0.8815464188
546	0.8808507475
547	0.8807202631
548	0.879812717
549	0.8792486631
550	0.8789331316
551	0.8784250314
552	0.8778135453
553	0.8771504849
554	0.8770403068
555	0.8765517309
556	0.8762693371
557	0.8761936089
558	0.8751493294
559	0.8743485501
560	0.8734281918
561	0.872313376
562	0.871862114
563	0.8710985771
564	0.8705083055
565	0.8693333231
566	0.8686084499
567	0.8685168578
568	0.8681401085
569	0.867406465
570	0.8666452395
571	0.8663013158
572	0.8657886198
573	0.8654295494
574	0.8645193454
575	0.8639131051
576	0.8631704861
577	0.8622970906
578	0.8620066563
579	0.8613698955
580	0.8601404765
581	0.8597013511
582	0.859238065
583	0.8584902257
584	0.8578466949
585	0.857193075
586	0.8569774388
587	0.8562216518
588	0.8560926713
589	0.8555665556
590	0.8548988212
591	0.8547673148
592	0.8541316865
593	0.8529149083
594	0.8519439312
595	0.851029578
596	0.8500295868
597	0.849967204
598	0.8494715759
599	0.8483362242
600	0.847810845
601	0.8471291992
602	0.8460557392
603	0.8454597492
604	0.8445844206
605	0.8439006508
606	0.8432684027
607	0.8427396525
608	0.842115819
609	0.8414629962
610	0.8410106359
611	0.8402472907
612	0.8395676029
613	0.8391305687
614	0.8386529582
615	0.8382509275
616	0.837928706
617	0.8375329151
618	0.8374275917
619	0.8370090092
620	0.8363724669
621	0.8354721195
622	0.8354144557
623	0.8351880117
624	0.8341416951
625	0.8333018627
626	0.8329745485
627	0.8327484976
628	0.8324870095
629	0.831782524
630	0.8313561309
631	0.8310960875
632	0.8308069222
633	0.8302173996
634	0.82968867
635	0.8295170017
636	0.8290049044
637	0.8281851681
638	0.8280673086
639	0.82773507
640	0.8268538735
641	0.8260309203
642	0.8252320255
643	0.8248851277
644	0.8242450313
645	0.8237556454
646	0.823178857
647	0.8221122148
648	0.821561283
649	0.8209548937
650	0.8203722006
651	0.8199761219
652	0.8195376706
653	0.8194808923
654	0.8189935069
655	0.8183509119
656	0.8179254009
657	0.8173823952
658	0.8171383853
659	0.8167569818
660	0.8161314569
661	0.8155906192
662	0.8142472145
663	0.81381077
664	0.8136936508
665	0.8135921361
666	0.8126859528
667	0.8116350322
668	0.8115031185
669	0.8107174135
670	0.8107019241
671	0.8102689998
672	0.8098263279
673	0.8091269057
674	0.8088641351
675	0.8085543447
676	0.8080102564
677	0.8076658106
678	0.8073948238
679	0.8067251096
680	0.806335841
681	0.8057362792
682	0.8051436387
683	0.8047247037
684	0.804443528
685	0.8041150235
686	0.8039677623
687	0.8033608968
688	0.8028814081
689	0.8021316084
690	0.8013499965
691	0.8009386319
692	0.800790412
693	0.8005122131
694	0.7996380592
695	0.7994599986
696	0.7993569232
697	0.7986705799
698	0.7978655005
699	0.7971528249
700	0.7963439178
701	0.7959337203
702	0.7956594258
703	0.7950731762
704	0.7945620235
705	0.7943291766
706	0.7938551623
707	0.7935693532
708	0.7932014949
709	0.7922596833
710	0.7918066992
711	0.7910774978
712	0.7906029803
713	0.7902526505
714	0.7898998146
715	0.7894304426
716	0.7886743156
717	0.7883978721
718	0.7879877037
719	0.787729961
720	0.7873247585
721	0.7868298932
722	0.7858239843
723	0.7856159649
724	0.7854564747
725	0.7849174178
726	0.7846166093
727	0.7837698875
728	0.7833675622
729	0.782828543
730	0.7826127414
731	0.7820599164
732	0.7815586429
733	0.7811670643
734	0.7806833501
735	0.7796751675
736	0.7788433198
737	0.7787733428
738	0.7786996847
739	0.7781015305
740	0.7773700153
741	0.776599423
742	0.7762896742
743	0.7759993642
744	0.7752228187
745	0.7748297017
746	0.7746496197
747	0.7741491807
748	0.7735440809
749	0.7728637335
750	0.7725759566
751	0.7717404178
752	0.7712491813
753	0.7709872944
754	0.7707108404
755	0.7700091375
756	0.7694779608
757	0.7691472293
758	0.7685278403
759	0.7684909809
760	0.7681007709
761	0.7676959137
762	0.7669255255
763	0.7660824484
764	0.7657869108
765	0.7650108931
766	0.7644684551
767	0.7644164993
768	0.7637834773
769	0.7632878092
770	0.7628380915
771	0.7625333362
772	0.7621251145
773	0.7620759747
774	0.7618604873
775	0.7618046391
776	0.7617780053
777	0.7611085568
778	0.7606192469
779	0.7598575636
780	0.7597618685
781	0.7590238374
782	0.7586131123
783	0.7579982055
784	0.7574535335
785	0.757054844
786	0.7569464768
787	0.756151543
788	0.7560815453
789	0.7557669808
790	0.7551284262
791	0.7547373965
792	0.75468399
793	0.7541156408
794	0.7533095095
795	0.7530665517
796	0.752227985
797	0.7520153766
798	0.7516485378
799	0.7512797566
800	0.7508871181
801	0.7502631712
802	0.7498632321
803	0.7492928291
804	0.7487223155
805	0.7483291496
806	0.7482762826
807	0.7477346608
808	0.7472148189
809	0.7471488796
810	0.7466896261
811	0.7462620208
812	0.7460104277
813	0.7454089549
814	0.7451518462
815	0.7446775614
816	0.7441625588
817	0.7437278115
818	0.7432750908
819	0.7430810775
820	0.7420854967
821	0.7414408252
822	0.7410021376
823	0.7405926281
824	0.7400458636
825	0.7394884738
826	0.7390133182
827	0.7386721212
828	0.7383803662
829	0.7381744246
830	0.7379058557
831	0.7374757884
832	0.737290199
833	0.7369599474
834	0.7367696883
835	0.7367259132
836	0.7363639657
837	0.7363201016
838	0.7359991389
839	0.7359737132
840	0.7354409458
841	0.734979716
842	0.7345482625
843	0.7344158392
844	0.7341607557
845	0.7339693919
846	0.7335546474
847	0.7329139515
848	0.7322949451
849	0.7319502278
850	0.73143704
851	0.7310473892
852	0.7304105186
853	0.7300770326
854	0.7296362221
855	0.7295748823
856	0.72909716
857	0.7283182197
858	0.7282076673
